iter	RMSE
322	10968.01917
323	10963.85097
324	10956.20942
325	10942.80313
326	10923.43297
327	10920.26592
328	10914.99027
329	10906.96673
330	10887.6238
331	10884.79748
332	10869.29739
333	10864.31301
334	10855.96672
335	10846.70938
336	10840.38411
337	10833.98225
338	10802.8469
339	10794.88055
340	10782.88983
341	10778.84157
342	10775.64962
343	10771.05334
344	10761.1052
345	10746.90993
346	10739.86174
347	10723.43496
348	10717.61405
349	10711.08323
350	10702.06714
351	10681.91911
352	10677.8899
353	10643.55253
354	10639.21807
355	10630.0044
356	10620.06292
357	10617.21959
358	10612.9686
359	10606.26536
360	10573.3154
361	10544.60876
362	10521.33996
363	10508.70187
364	10478.10112
365	10473.75369
366	10457.95868
367	10449.60916
368	10441.30785
369	10435.90005
370	10426.29732
371	10420.36333
372	10407.80196
373	10403.40874
374	10393.9746
375	10390.36119
376	10383.96524
377	10374.32295
378	10359.73924
379	10355.98259
380	10353.97806
381	10343.81274
382	10334.46145
383	10328.79939
384	10319.44316
385	10316.25371
386	10312.60633
387	10308.59777
388	10306.31702
389	10296.25406
390	10289.86669
391	10265.80538
392	10257.98836
393	10250.27589
394	10241.13201
395	10234.33409
396	10227.88105
397	10220.32079
398	10216.52279
399	10189.43146
400	10177.65606
401	10169.12282
402	10165.4462
403	10159.93816
404	10156.27044
405	10151.3787
406	10144.19038
407	10141.30998
408	10137.20819
409	10127.64527
410	10125.54739
411	10117.19679
412	10112.43176
413	10102.86892
414	10098.29465
415	10090.0151
416	10081.44029
417	10073.06402
418	10068.1875
419	10060.33432
420	10053.96164
421	10031.64819
422	10023.76865
423	10021.45313
424	10015.11302
425	10008.44763
426	10000.09245
427	9990.448512
428	9985.722217
429	9970.211896
430	9965.872616
431	9958.888245
432	9955.565648
433	9949.325682
434	9941.825668
435	9927.180926
436	9910.864454
437	9905.249356
438	9901.215036
439	9897.487553
440	9871.734482
441	9868.597064
442	9864.620463
443	9855.934322
444	9848.862161
445	9834.137912
446	9829.971712
447	9822.793646
448	9813.484666
449	9806.049871
450	9792.143073
451	9785.588739
452	9768.762469
453	9763.904161
454	9759.448681
455	9755.459256
456	9752.744347
457	9741.440641
458	9737.77632
459	9716.420208
460	9697.149143
461	9692.647063
462	9688.623064
463	9684.60366
464	9677.775488
465	9673.565876
466	9660.271309
467	9654.595071
468	9651.699459
469	9644.248438
470	9642.378524
471	9636.80427
472	9632.482631
473	9623.89068
474	9621.460279
475	9616.782885
476	9614.500396
477	9607.328854
478	9603.170131
479	9599.848424
480	9597.894776
481	9596.045347
482	9593.63492
483	9590.77494
484	9588.158041
485	9578.522431
486	9576.871264
487	9568.392186
488	9564.734167
489	9559.799171
490	9555.943113
491	9549.080967
492	9542.151034
493	9535.887019
494	9534.50981
495	9529.041003
496	9519.746204
497	9510.697911
498	9505.700395
499	9503.824656
500	9501.129539
501	9499.251785
502	9496.782898
503	9492.556012
504	9491.149539
505	9483.050406
506	9481.441059
507	9479.9692
508	9471.216681
509	9466.278734
510	9461.221099
511	9454.715398
512	9448.517311
513	9444.591349
514	9442.733968
515	9438.108994
516	9425.611227
517	9423.527369
518	9416.624448
519	9411.348461
520	9403.100477
521	9394.481359
522	9392.412784
523	9376.120423
524	9368.846585
525	9364.196045
526	9358.830038
527	9350.556965
528	9342.389164
529	9336.964913
530	9333.506182
531	9328.579835
532	9321.518963
533	9319.511254
534	9314.617455
535	9307.447269
536	9302.740689
537	9296.420595
538	9293.14842
539	9288.551798
540	9281.931072
541	9279.732095
542	9268.841943
543	9264.420062
544	9260.935575
545	9256.844724
546	9250.216086
547	9246.369477
548	9244.069745
549	9237.347732
550	9235.846832
551	9229.56159
552	9224.23881
553	9220.776098
554	9210.096589
555	9206.265196
556	9200.122797
557	9192.001806
558	9186.568956
559	9184.676355
560	9179.162423
561	9173.640029
562	9171.62577
563	9166.527023
564	9162.263598
565	9160.506002
566	9157.774919
567	9155.099756
568	9152.606375
569	9146.737466
570	9140.14288
571	9131.955538
572	9130.511407
573	9116.51068
574	9113.253582
575	9111.750808
576	9106.365222
577	9099.96349
578	9094.171452
579	9087.065458
580	9079.302566
581	9075.859521
582	9072.680858
583	9068.875884
584	9062.819988
585	9056.223185
586	9053.843117
587	9047.329073
588	9043.254823
589	9037.319382
590	9035.325145
591	9033.044014
592	9028.004982
593	9021.206352
594	9019.899927
595	9013.958812
596	9010.592685
597	9006.889559
598	8999.088647
599	8990.116367
600	8987.042332
601	8981.955383
602	8979.922659
603	8976.618578
604	8971.552043
605	8966.535813
606	8959.146452
607	8951.065703
608	8947.502114
609	8939.58415
610	8938.222971
611	8933.506764
612	8929.543755
613	8926.145182
614	8923.437382
615	8917.614011
616	8916.560559
617	8909.908435
618	8907.318884
619	8901.449181
620	8896.057283
621	8894.353324
622	8889.34063
623	8886.968832
624	8884.310346
625	8883.193725
626	8879.756021
627	8877.446102
628	8873.13646
629	8870.571378
630	8868.159115
631	8863.950979
632	8862.988354
633	8861.387923
634	8858.612205
635	8855.50337
636	8847.417122
637	8842.014082
638	8837.565615
639	8825.425618
640	8823.776191
641	8820.008237
642	8818.066709
643	8814.073632
644	8812.37601
645	8808.088445
646	8802.803452
647	8800.209537
648	8794.810634
649	8793.042503
650	8791.868871
651	8787.00788
652	8779.922173
653	8777.570409
654	8773.531642
655	8771.848904
656	8770.254067
657	8767.210566
658	8761.092926
659	8756.258294
660	8749.237396
661	8745.67981
662	8741.474227
663	8739.995226
664	8738.222423
665	8735.52329
666	8731.912611
667	8730.272065
668	8726.876053
669	8721.954969
670	8720.335983
671	8718.52483
672	8711.73087
673	8710.781034
674	8708.13191
675	8702.214922
676	8700.394165
677	8697.504278
678	8694.125667
679	8693.086401
680	8687.671011
681	8685.242557
682	8683.845044
683	8678.88325
684	8672.895895
685	8671.168088
686	8668.679642
687	8665.479142
688	8662.005233
689	8660.256428
690	8657.241671
691	8655.269094
692	8647.275168
693	8643.647661
694	8641.27924
695	8636.67159
696	8631.37351
697	8626.01988
698	8619.815071
699	8618.9792
700	8615.255597
701	8610.130815
702	8604.766873
703	8603.723571
704	8600.540507
705	8598.499562
706	8593.161603
707	8590.833916
708	8589.361064
709	8585.107221
710	8580.774911
711	8579.8941
712	8577.785313
713	8573.101453
714	8569.967158
715	8568.300709
716	8567.455855
717	8562.449966
718	8559.084009
719	8549.002592
720	8545.529586
721	8540.655692
722	8533.856228
723	8531.949644
724	8531.179944
725	8530.219756
726	8526.467934
727	8523.776068
728	8519.073978
729	8512.907854
730	8511.803833
731	8509.205779
732	8507.820241
733	8503.17936
734	8501.404603
735	8497.081766
736	8493.982914
737	8487.617184
738	8484.985344
739	8483.889035
740	8483.09896
741	8480.852021
742	8479.719096
743	8476.706089
744	8470.949707
745	8469.337211
746	8467.80466
747	8466.864448
748	8464.876373
749	8460.965446
750	8457.536998
751	8456.658798
752	8453.723217
753	8448.863622
754	8446.453158
755	8442.355152
756	8438.201936
757	8435.632923
758	8433.044511
759	8429.306556
760	8425.242497
761	8423.045901
762	8418.094851
763	8416.495357
764	8412.652871
765	8410.757741
766	8407.316873
767	8405.090335
768	8401.89466
769	8400.897775
770	8396.546832
771	8394.100508
772	8389.24833
773	8386.613219
774	8380.283467
775	8376.881334
776	8371.906047
777	8367.483165
778	8362.48823
779	8358.690067
780	8356.965594
781	8353.637915
782	8352.707068
783	8350.267493
784	8346.868489
785	8344.483614
786	8340.301316
787	8332.353412
788	8331.27691
789	8322.351251
790	8320.59884
791	8317.82783
792	8317.06433
793	8314.55139
794	8312.599978
795	8311.566369
796	8308.055736
797	8307.17974
798	8304.649335
799	8300.333102
800	8296.796394
801	8295.341502
802	8294.377999
803	8293.775845
804	8290.836053
805	8287.081777
806	8285.763053
807	8283.645819
808	8280.816777
809	8275.765659
810	8273.28767
811	8271.874265
812	8266.354255
813	8263.763204
814	8261.27947
815	8257.353406
816	8251.743533
817	8250.975663
818	8246.811016
819	8246.030356
820	8240.981948
821	8240.336897
822	8231.052394
823	8227.550803
824	8226.883034
825	8223.083864
826	8221.429946
827	8216.187899
828	8211.145423
829	8209.620553
830	8208.877616
831	8207.087724
832	8203.627977
833	8202.75069
834	8199.443572
835	8197.998262
836	8196.292196
837	8195.456893
838	8193.323772
839	8192.17056
840	8190.109539
841	8185.584738
842	8181.924629
843	8180.555908
844	8179.284879
845	8178.107437
846	8174.621748
847	8173.461962
848	8172.664113
849	8169.550616
850	8168.077998
851	8164.526848
852	8163.803619
853	8158.687777
854	8157.672623
855	8155.231938
856	8151.637097
857	8149.360377
858	8147.733995
859	8144.235425
860	8143.507771
861	8135.195921
862	8130.036498
863	8125.751272
864	8124.488121
865	8122.106924
866	8120.836408
867	8119.212528
868	8112.189043
869	8111.617122
870	8107.608548
871	8104.323355
872	8099.962437
873	8095.03573
874	8090.760146
875	8087.817365
876	8081.050359
877	8079.781026
878	8078.704771
879	8077.190925
880	8074.2948
881	8070.743725
882	8068.467256
883	8065.756612
884	8062.537796
885	8059.955932
886	8057.499712
887	8054.421857
888	8053.763791
889	8052.787868
890	8049.243022
891	8048.08545
892	8046.827432
893	8042.266999
894	8040.358478
895	8038.600343
896	8036.697028
897	8035.474485
898	8032.48696
899	8031.591697
900	8029.336129
901	8026.768697
902	8024.209979
903	8021.97845
904	8020.704684
905	8018.454212
906	8015.464531
907	8011.900003
908	8011.093286
909	8008.322622
910	8007.139355
911	8006.204685
912	8002.406159
913	8000.475824
914	7997.120617
915	7996.56871
916	7995.484941
917	7993.485746
918	7992.104965
919	7989.79954
920	7988.672341
921	7986.910407
922	7986.209257
923	7983.426626
924	7982.736689
925	7979.769624
926	7977.621882
927	7975.613125
928	7974.118453
929	7970.605677
930	7967.286112
931	7965.385696
932	7963.3212
933	7961.906567
934	7960.455582
935	7956.951876
936	7954.139571
937	7951.48514
938	7950.697177
939	7946.330983
940	7944.093191
941	7942.819264
942	7941.449551
943	7939.376453
944	7937.654833
945	7936.316116
946	7935.521832
947	7932.368766
948	7931.669606
949	7930.44594
950	7926.681905
951	7926.013396
952	7924.159447
953	7923.384922
954	7920.501494
955	7916.471836
956	7912.387849
957	7910.489272
958	7906.566589
959	7903.458636
960	7901.391785
961	7897.722184
962	7895.101399
963	7886.273185
964	7883.04424
965	7880.489246
966	7874.697451
967	7872.894587
968	7870.03564
969	7869.187987
970	7867.088701
971	7864.581481
972	7861.56491
973	7860.256836
974	7855.867111
975	7854.454509
976	7853.30621
977	7850.433311
978	7848.734168
979	7846.511034
980	7845.93516
981	7844.135151
982	7843.553645
983	7842.90747
984	7842.332928
985	7840.777639
986	7839.204457
987	7836.030976
988	7834.204872
989	7832.55342
990	7829.713583
991	7828.52156
992	7823.22569
993	7821.90562
994	7818.77832
995	7817.500764
996	7816.638903
997	7815.420697
998	7813.090077
999	7812.608313
